id,Timestamp,Category,Money,Description,Details
1085097213,2023-02-06T10:53:41.613728+00:00,production,-8485,Production of Silicon,"{""amount"": 2401, ""price"": ""$6.76"", ""quality"": 2}"
1085096925,2023-02-06T10:53:24.132287+00:00,production,-65748,Production of Chemicals,"{""amount"": 25840, ""price"": ""$13.69"", ""quality"": 2}"
1085040468,2023-02-06T09:38:21.162440+00:00,production,-7959,Production of On-board computer,"{""amount"": 220, ""price"": ""$365.08"", ""quality"": 0}"
1084931304,2023-02-06T07:19:19.583397+00:00,production,-8067,Production of On-board computer,"{""amount"": 223, ""price"": ""$364.90"", ""quality"": 0}"
1084866258,2023-02-06T06:06:40.200160+00:00,production,-2536,Production of On-board computer,"{""amount"": 71, ""price"": ""$364.24"", ""quality"": 0}"
1084848583,2023-02-06T05:45:29.481055+00:00,production,-5933,Production of Ion drive,"{""amount"": 4, ""price"": ""$9580.12"", ""quality"": 1}"
1084848492,2023-02-06T05:45:22.660084+00:00,production,-5933,Production of Ion drive,"{""amount"": 4, ""price"": ""$9580.12"", ""quality"": 1}"
1084848005,2023-02-06T05:44:40.844506+00:00,production,-17846,Production of Aluminium,"{""amount"": 3962, ""price"": ""$18.07"", ""quality"": 1}"
1084847901,2023-02-06T05:44:32.300589+00:00,production,-17846,Production of Aluminium,"{""amount"": 3962, ""price"": ""$18.07"", ""quality"": 1}"
1084847507,2023-02-06T05:44:01.502758+00:00,production,-27756,Production of Electronic components,"{""amount"": 2332, ""price"": ""$46.44"", ""quality"": 0}"
1084847380,2023-02-06T05:43:51.409704+00:00,production,-27744,Production of Processors,"{""amount"": 518, ""price"": ""$94.78"", ""quality"": 0}"
1084847044,2023-02-06T05:43:25.532063+00:00,production,-27792,Production of Electronic components,"{""amount"": 2335, ""price"": ""$46.44"", ""quality"": 0}"
1084846509,2023-02-06T05:42:42.358715+00:00,production,-23835,Production of Processors,"{""amount"": 445, ""price"": ""$94.79"", ""quality"": 0}"
1084846218,2023-02-06T05:42:21.976854+00:00,production,-38563,Production of Processors,"{""amount"": 720, ""price"": ""$94.78"", ""quality"": 0}"
1084815193,2023-02-06T05:01:58.145289+00:00,production,-451,Production of Golden bars,"{""amount"": 25, ""price"": ""$6328.08"", ""quality"": 1}"
1084813690,2023-02-06T05:00:00.675708+00:00,production,-925,Production of Gold ore,"{""amount"": 125, ""price"": ""$28.14"", ""quality"": 0}"
1084812618,2023-02-06T04:58:24.103530+00:00,market,-33100,Bought Water on market,"{""amount"": 100000, ""price"": ""$0.33"", ""seller(s)"": ""Divertissant""}"
1084748938,2023-02-06T03:39:59.250649+00:00,fees,-872,Market fees selling Electric motor,{}
1084748937,2023-02-06T03:39:59.248861+00:00,market,29040,Electric motor market order filled,"{""resource"": ""Electric motor"", ""amount"": 132, ""quality"": 2, ""price"": ""$220.00"", ""buyer"": ""Preet com."", ""profit"": -209}"
1084739266,2023-02-06T03:31:17.406559+00:00,taxes,-10680,Accounting overhead,"{""Cash"": ""$5,135,892"", ""Investment in bonds"": ""$0"", ""Bonds payable"": ""$0"", ""Executive lift"": ""$0"", ""Cash/bonds value over $3,000,000 at 0.5%"": ""$10,680""}"
1084720895,2023-02-06T03:06:30.368460+00:00,fees,-10920,Market fees selling High grade e-comps,{}
1084720894,2023-02-06T03:06:30.366105+00:00,market,364000,High grade e-comps market order filled,"{""resource"": ""High grade e-comps"", ""amount"": 400, ""quality"": 3, ""price"": ""$910.00"", ""buyer"": ""Ensemble Electronics"", ""profit"": 70062}"
1084716238,2023-02-06T02:59:20.239214+00:00,fees,-3660,Market fees selling Ion drive,{}
1084716237,2023-02-06T02:59:20.236608+00:00,market,122000,Ion drive market order filled,"{""resource"": ""Ion drive"", ""amount"": 10, ""quality"": 1, ""price"": ""$12200.00"", ""buyer"": ""Evil corporate Inc"", ""profit"": 22684}"
1084198821,2023-02-05T22:01:23.172172+00:00,market,2528,Basic interior market order filled,"{""resource"": ""Basic interior"", ""amount"": 8, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""Master Ki"", ""profit"": 284}"
1084198109,2023-02-05T22:00:40.305408+00:00,market,2528,Basic interior market order partially filled,"{""resource"": ""Basic interior"", ""amount"": 8, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""GAMGAM"", ""profit"": ""$284"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
1084196612,2023-02-05T21:59:16.880055+00:00,market,25596,Basic interior market order partially filled,"{""resource"": ""Basic interior"", ""amount"": 81, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""Metal work"", ""profit"": ""$2875"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
1084195504,2023-02-05T21:57:58.035001+00:00,market,34128,Basic interior market order partially filled,"{""resource"": ""Basic interior"", ""amount"": 108, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""Ckgj50"", ""profit"": ""$3834"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
1084194947,2023-02-05T21:57:17.169368+00:00,market,3160,Basic interior market order partially filled,"{""resource"": ""Basic interior"", ""amount"": 10, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""BABA JAGA SA"", ""profit"": ""$355"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
1084011958,2023-02-05T19:10:56.156773+00:00,market,176960,Basic interior market order partially filled,"{""resource"": ""Basic interior"", ""amount"": 560, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""LUX Polski JUMBO"", ""profit"": ""$19883"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
1084009893,2023-02-05T19:08:59.386699+00:00,market,43608,Basic interior market order partially filled,"{""resource"": ""Basic interior"", ""amount"": 138, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""Womanizer GmbH"", ""profit"": ""$4899"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
1084002878,2023-02-05T19:03:55.360113+00:00,market,632,Basic interior market order partially filled,"{""resource"": ""Basic interior"", ""amount"": 2, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""TeddyMarioCorp"", ""profit"": ""$71"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
1084001012,2023-02-05T19:02:29.947793+00:00,market,132720,Basic interior market order partially filled,"{""resource"": ""Basic interior"", ""amount"": 420, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""Construction Ltd"", ""profit"": ""$14912"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
1083996677,2023-02-05T18:59:13.540755+00:00,market,132720,Basic interior market order partially filled,"{""resource"": ""Basic interior"", ""amount"": 420, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""AEROSPACE LLC. SAL"", ""profit"": ""$14912"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
1083971610,2023-02-05T18:33:48.756518+00:00,market,212352,Basic interior market order partially filled,"{""resource"": ""Basic interior"", ""amount"": 672, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""Venom Cooperation"", ""profit"": ""$23859"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
1083969857,2023-02-05T18:32:11.501250+00:00,market,88480,Basic interior market order partially filled,"{""resource"": ""Basic interior"", ""amount"": 280, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""CZB INDUSTRIAS"", ""profit"": ""$9941"", ""fees"": ""$0"", ""remaining_fees"": ""$0""}"
1083966092,2023-02-05T18:28:21.883134+00:00,fees,-36214,Market fees selling Basic interior,"{""remaining_fees"": ""$0""}"
1083966091,2023-02-05T18:28:21.880114+00:00,market,351708,Basic interior market order partially filled,"{""resource"": ""Basic interior"", ""amount"": 1113, ""quality"": 1, ""price"": ""$316.00"", ""buyer"": ""Cosmos Inc"", ""profit"": ""$3304"", ""fees"": ""$36214"", ""remaining_fees"": ""$0""}"
1083930283,2023-02-05T17:53:39.571560+00:00,production,-43417,Production of Chemicals,"{""amount"": 16990, ""price"": ""$13.71"", ""quality"": 2}"
1083929499,2023-02-05T17:52:50.740860+00:00,production,-52514,Production of Chemicals,"{""amount"": 20550, ""price"": ""$13.71"", ""quality"": 2}"
1083868083,2023-02-05T16:51:31.423765+00:00,production,-43410,Production of High grade e-comps,"{""amount"": 160, ""price"": ""$710.61"", ""quality"": 2}"
1083867810,2023-02-05T16:51:15.493677+00:00,production,-39069,Production of High grade e-comps,"{""amount"": 144, ""price"": ""$710.61"", ""quality"": 2}"
1083866464,2023-02-05T16:49:57.410689+00:00,market,-1020,Bought Planks on market,"{""amount"": 112, ""price"": ""$9.11"", ""seller(s)"": ""Caracas5060""}"
1083866450,2023-02-05T16:49:57.093196+00:00,market,-886,Bought Bricks on market,"{""amount"": 385, ""price"": ""$2.30"", ""seller(s)"": ""Caracas5060""}"
1083866439,2023-02-05T16:49:56.767885+00:00,market,-5040,Bought Reinforced concrete on market,"{""amount"": 28, ""price"": ""$180.00"", ""seller(s)"": ""Bundrick LLC""}"
1083866324,2023-02-05T16:49:47.804119+00:00,market,-1020,Bought Planks on market,"{""amount"": 112, ""price"": ""$9.11"", ""seller(s)"": ""Caracas5060""}"
1083866319,2023-02-05T16:49:47.518247+00:00,market,-905,Bought Bricks on market,"{""amount"": 385, ""price"": ""$2.35"", ""seller(s)"": ""RTK Corporation""}"
1083866316,2023-02-05T16:49:47.214185+00:00,market,-5040,Bought Reinforced concrete on market,"{""amount"": 28, ""price"": ""$180.00"", ""seller(s)"": ""Bundrick LLC""}"
1083866192,2023-02-05T16:49:38.610432+00:00,market,-442,Bought Planks on market,"{""amount"": 48, ""price"": ""$9.21"", ""seller(s)"": ""Dungmaster GmbH""}"
1083866187,2023-02-05T16:49:38.299391+00:00,market,-388,Bought Bricks on market,"{""amount"": 165, ""price"": ""$2.35"", ""seller(s)"": ""RTK Corporation""}"
1083866180,2023-02-05T16:49:37.819994+00:00,market,-2160,Bought Reinforced concrete on market,"{""amount"": 12, ""price"": ""$180.00"", ""seller(s)"": ""Bundrick LLC""}"
1083860423,2023-02-05T16:43:39.112911+00:00,market,-157500,Bought Gold ore on market,"{""amount"": 5000, ""price"": ""$31.50"", ""seller(s)"": ""Archix""}"
1083858661,2023-02-05T16:41:53.524556+00:00,production,-42661,Production of High grade e-comps,"{""amount"": 160, ""price"": ""$705.93"", ""quality"": 2}"
1083858527,2023-02-05T16:41:45.736158+00:00,production,-42661,Production of High grade e-comps,"{""amount"": 160, ""price"": ""$705.93"", ""quality"": 2}"
1083858316,2023-02-05T16:41:33.789077+00:00,production,-42661,Production of High grade e-comps,"{""amount"": 160, ""price"": ""$705.93"", ""quality"": 2}"
1083858170,2023-02-05T16:41:25.749289+00:00,production,-42661,Production of High grade e-comps,"{""amount"": 160, ""price"": ""$705.93"", ""quality"": 2}"
1083857561,2023-02-05T16:40:56.194109+00:00,fees,-2178,Market fees selling Ion drive,{}
1083857560,2023-02-05T16:40:56.191178+00:00,market,72600,Ion drive market order filled,"{""resource"": ""Ion drive"", ""amount"": 6, ""quality"": 1, ""price"": ""$12100.00"", ""buyer"": ""PVKK Company"", ""profit"": 13007}"
1083856897,2023-02-05T16:40:11.544743+00:00,production,-10336,Production of Ion drive,"{""amount"": 7, ""price"": ""$9569.69"", ""quality"": 1}"
1083856735,2023-02-05T16:39:56.917340+00:00,production,-10336,Production of Ion drive,"{""amount"": 7, ""price"": ""$9561.42"", ""quality"": 1}"
1083523569,2023-02-05T10:59:42.451678+00:00,production,-4430,Production of Ion drive,"{""amount"": 3, ""price"": ""$9574.38"", ""quality"": 1}"
1083523385,2023-02-05T10:59:27.892410+00:00,production,-4430,Production of Ion drive,"{""amount"": 3, ""price"": ""$9563.66"", ""quality"": 1}"
1083443063,2023-02-05T09:27:15.926391+00:00,production,-25597,Production of High grade e-comps,"{""amount"": 96, ""price"": ""$705.93"", ""quality"": 2}"
1083442692,2023-02-05T09:26:49.243559+00:00,production,-31330,Production of Chemicals,"{""amount"": 12475, ""price"": ""$13.66"", ""quality"": 2}"
1083442553,2023-02-05T09:26:39.489998+00:00,production,-31342,Production of Chemicals,"{""amount"": 12480, ""price"": ""$13.66"", ""quality"": 2}"
1083442270,2023-02-05T09:26:18.866825+00:00,production,-21331,Production of High grade e-comps,"{""amount"": 80, ""price"": ""$707.54"", ""quality"": 3}"
1083441778,2023-02-05T09:25:49.463341+00:00,production,-25597,Production of High grade e-comps,"{""amount"": 96, ""price"": ""$707.54"", ""quality"": 3}"
1083441617,2023-02-05T09:25:39.036732+00:00,production,-25597,Production of High grade e-comps,"{""amount"": 96, ""price"": ""$707.54"", ""quality"": 3}"
1083440769,2023-02-05T09:24:44.324240+00:00,production,-25597,Production of High grade e-comps,"{""amount"": 96, ""price"": ""$707.54"", ""quality"": 3}"
1083440560,2023-02-05T09:24:32.882319+00:00,production,-25597,Production of High grade e-comps,"{""amount"": 96, ""price"": ""$707.54"", ""quality"": 3}"
1083366215,2023-02-05T08:06:45.640657+00:00,fees,-214,Market fees selling Electric motor,{}
1083366214,2023-02-05T08:06:45.638025+00:00,market,7104,Electric motor market order filled,"{""resource"": ""Electric motor"", ""amount"": 32, ""quality"": 2, ""price"": ""$222.00"", ""buyer"": ""Grubinion"", ""profit"": 10}"
1083279237,2023-02-05T06:17:34.226949+00:00,production,-2202,Production of Electric motor,"{""amount"": 82, ""price"": ""$214.98"", ""quality"": 2}"
1083279171,2023-02-05T06:17:28.355456+00:00,production,-2202,Production of Electric motor,"{""amount"": 82, ""price"": ""$214.98"", ""quality"": 2}"
1083278598,2023-02-05T06:16:36.954594+00:00,market,-27552,Bought Electronic components on market,"{""amount"": 492, ""price"": ""$56.00"", ""seller(s)"": ""Tutorial 21bf935""}"
1083231893,2023-02-05T04:55:30.535071+00:00,fees,-7906,Market fees selling High grade e-comps,{}
1083231892,2023-02-05T04:55:30.532689+00:00,market,263520,High grade e-comps market order filled,"{""resource"": ""High grade e-comps"", ""amount"": 288, ""quality"": 3, ""price"": ""$915.00"", ""buyer"": ""POWER GmbH"", ""profit"": 59463}"
1083167065,2023-02-05T03:31:43.264208+00:00,fees,-11,Market fees selling Processors,{}
1083167064,2023-02-05T03:31:43.262399+00:00,market,354,Processors market order filled,"{""resource"": ""Processors"", ""amount"": 3, ""quality"": 0, ""price"": ""$118.00"", ""buyer"": ""YML Technology"", ""profit"": 61}"
1083160588,2023-02-05T03:27:15.151240+00:00,production,-15198,Production of Processors,"{""amount"": 285, ""price"": ""$94.55"", ""quality"": 0}"
1083160397,2023-02-05T03:26:57.590702+00:00,market,-525335,Bought Chemicals on market,"{""amount"": 36230, ""price"": ""$14.50"", ""seller(s)"": ""Buy N Large Electronics""}"
1083160197,2023-02-05T03:26:40.189414+00:00,market,-3141300,Bought Minerals on market,"{""amount"": 283000, ""price"": ""$11.10"", ""seller(s)"": ""PANFA 2022""}"
1083157063,2023-02-05T03:22:11.332217+00:00,production,-160,Production of Processors,"{""amount"": 3, ""price"": ""$93.71"", ""quality"": 0}"
1083156838,2023-02-05T03:21:48.046539+00:00,production,-24813,Production of Chemicals,"{""amount"": 9880, ""price"": ""$13.74"", ""quality"": 1}"
1083156779,2023-02-05T03:21:40.779055+00:00,production,-24800,Production of Chemicals,"{""amount"": 9875, ""price"": ""$13.76"", ""quality"": 2}"
1083156163,2023-02-05T03:20:41.889852+00:00,market,-221060,Bought Minerals on market,"{""amount"": 19755, ""price"": ""$11.19"", ""seller(s)"": ""SkyNet Global, GWTA INDUSTRIES, Arrows94""}"
1083155678,2023-02-05T03:19:52.466202+00:00,production,-19702,Production of Batteries,"{""amount"": 1016, ""price"": ""$74.00"", ""quality"": 0}"
1083155632,2023-02-05T03:19:47.203701+00:00,production,-19702,Production of Batteries,"{""amount"": 1016, ""price"": ""$74.00"", ""quality"": 0}"
1083155580,2023-02-05T03:19:41.710620+00:00,production,-19702,Production of Batteries,"{""amount"": 1016, ""price"": ""$74.00"", ""quality"": 0}"
1083155476,2023-02-05T03:19:33.618110+00:00,production,-19702,Production of Batteries,"{""amount"": 1016, ""price"": ""$74.00"", ""quality"": 0}"
1083155342,2023-02-05T03:19:21.708923+00:00,production,-19702,Production of Batteries,"{""amount"": 1016, ""price"": ""$74.00"", ""quality"": 0}"
